trial,image1,image2,image3,image4
1,1,0.7700371716877676,0.6135212520011407,0.4930360692012874
2,1,0.8096446526938282,0.5942948504866753,0.34941282419932024
3,1,0.6182477434458983,0.5985007388172037,0.516223559208135
4,1,0.692155183106625,0.49114443232339827,0.4577837356523755
5,1,0.71254169501964,0.5239176787898159,0.5279274471405044
6,1,0.6494568751218508,0.5760791497682357,0.5475578368182178
7,1,0.5429406445066179,0.5665504200760616,0.579667255932624
8,1,0.5488427345123897,0.5606329763182644,0.4970784349977029
9,1,0.5899151908712248,0.40376270361101424,0.42949523862399785
10,1,0.6010998657427297,0.5717221705287772,0.42491538761005443
11,1,0.5687277899782334,0.4484342256520133,0.6036200636654856
12,1,0.6908108791484338,0.49279674393503325,0.49880846682051677
13,1,0.7768566697514087,0.5605580562401588,0.4448615931198787
14,1,0.6179397463840628,0.6774092083904661,0.5259705119774264
15,1,0.6816255155883209,0.6290564194343953,0.561248326963936
16,1,0.6798540399699164,0.48157358674099304,0.5038113007640477
17,1,0.7883975170055687,0.4945810264097924,0.5350508263848075
18,1,0.6423051085916249,0.6210247445256765,0.5916480326288133
19,1,0.8436158917867826,0.46228049201110777,0.5060343465757731
20,1,0.6408397329467698,0.474799416201812,0.5269641678481589
21,1,0.7047082541818673,0.5668536561815813,0.6534854975619774
22,1,0.5406386760753609,0.49981374058951383,0.4664045330210423
23,1,0.46977825991916755,0.5984537472400726,0.6201091268325826
24,1,0.6687640132931277,0.5602830399457105,0.47597351777877867
25,1,0.5240099083919115,0.5988027991882238,0.6340840162863353
26,1,0.47801507273178334,0.37256848601074694,0.29326875202466385
27,1,0.7283814860287037,0.43312793224152546,0.43889956576045847
28,1,0.8374187574598019,0.5771983638581935,0.6380827148986544
29,1,0.4440270689954977,0.4918105710583269,0.5127030765199735
30,1,0.5077407716564439,0.4379469805327909,0.4881089379454059
31,1,0.571853364530583,0.6619542126427254,0.5698297668245924
32,1,0.5011638933848586,0.5518492012863158,0.4838089234226851
