iter,model,orig_R2c,iso_R2c,orig_r,iso_r
4,multimodal (img-txt),0.2170672897497169,0.19424968898905573,0.3776910993593612,0.3613151253558577
4,semantic residual,0.06076110503740135,0.07498269339349416,0.2579161559513773,0.29329938794888794
4,all predictors,0.26433173972650836,0.25961478338992755,0.4648703168736473,0.4655315979561746
5,phonological,0.061688261343068033,0.061688261343068033,0.2781437692627233,0.2781437692627233
5,semantic (txt-txt),0.1895278536521246,0.1895278536521246,0.39319455668876324,0.39319455668876324
5,visual (img-img),0.15662622269813775,0.14046724487950665,0.37565682992820726,0.3633212458042985
5,multimodal (img-txt),0.21460780000067767,0.1944359111735314,0.38590759654356865,0.3663970036016525
5,semantic residual,0.06510983941900098,0.08064022977485394,0.22382708731197387,0.25211897277942724
5,all predictors,0.258789401180287,0.254503984296079,0.4658360899579165,0.4668248395716746
6,phonological,0.058369217398660585,0.058369217398660585,0.2904990052806328,0.2904990052806328
6,semantic (txt-txt),0.17345561341430246,0.17345561341430246,0.44728987858302516,0.44728987858302516
6,visual (img-img),0.15937277783752848,0.1537751489206599,0.37795892880425147,0.32214394782154693
6,multimodal (img-txt),0.2116046576195345,0.1847633730956205,0.41989269866669415,0.39753659259798024
6,semantic residual,0.05848651502072247,0.07145187123981482,0.27842809157027915,0.32104451759384983
6,all predictors,0.2423413474947195,0.23811890157556626,0.5152590615110145,0.5060832227373566
7,phonological,0.06153531874559946,0.06153531874559946,0.26919355004833556,0.26919355004833556
7,semantic (txt-txt),0.17742312369945304,0.17742312369945304,0.4163982646531898,0.4163982646531898
7,visual (img-img),0.1410603040788176,0.1466020056658706,0.38488227001881775,0.35439788457011284
7,multimodal (img-txt),0.2088413285765943,0.18495412558478957,0.4182238204913016,0.3996846834142336
7,semantic residual,0.06366818298552,0.07752006783040984,0.2370500134221961,0.27706478012024427
7,all predictors,0.24518402038398449,0.24462120782175722,0.49825687861333423,0.4946930196588552
8,phonological,0.06622140126561818,0.06622140126561818,0.22472974707558827,0.22472974707558827
8,semantic (txt-txt),0.18886770103335213,0.18886770103335213,0.41590302088786685,0.41590302088786685
8,visual (img-img),0.1678348266490887,0.14856187893872125,0.31136306356593385,0.3145879573531907
8,multimodal (img-txt),0.22361041438981527,0.1938340920130858,0.3550899379024531,0.34580319324857434
8,semantic residual,0.05837579754297096,0.07482767700903262,0.2757980296893744,0.29150949304025137
8,all predictors,0.26522862087439275,0.2575305853771779,0.44226601598368226,0.4559370151349412
9,phonological,0.06346116522208911,0.06346116522208911,0.24885749825908252,0.24885749825908252
9,semantic (txt-txt),0.1928282926715939,0.1928282926715939,0.37123572954808165,0.37123572954808165
9,visual (img-img),0.1638540642385451,0.1372656017538074,0.34901821884219036,0.33079993624066273
9,multimodal (img-txt),0.22282774858799062,0.19627406604462236,0.3766141850389405,0.37252367526298324
9,semantic residual,0.06786029610057927,0.08410866363838868,0.19765956085869665,0.22395676989206822
9,all predictors,0.26660095173476694,0.2563334061899792,0.44905827322534575,0.4513258420666756
10,phonological,0.06210001184175993,0.06210001184175993,0.26488572027592167,0.26488572027592167
10,semantic (txt-txt),0.17385656357877868,0.17385656357877868,0.4138798301864194,0.4138798301864194
10,visual (img-img),0.16112623188312433,0.13915818702574373,0.38459106210516947,0.34729750122519376
10,multimodal (img-txt),0.2005097148206954,0.18021393076734962,0.41493836398926126,0.38990430371577783
10,semantic residual,0.06321006459811383,0.07865903734324521,0.23679670657563529,0.2654661788548923
10,all predictors,0.24861140268145707,0.24152709340756376,0.49605593756470007,0.4902678055892821
11,phonological,0.05756571167556452,0.05756571167556452,0.29787257081976576,0.29787257081976576
11,semantic (txt-txt),0.19519833727204683,0.19519833727204683,0.4172143942443826,0.4172143942443826
11,visual (img-img),0.1628372163098071,0.16014944982957807,0.32031813004034093,0.32571834576106573
11,multimodal (img-txt),0.23189099932991492,0.20359131370770772,0.36851881743029363,0.3902528431739309
11,semantic residual,0.058422934122103386,0.07578579398974486,0.2766273948972883,0.2866596750553936
11,all predictors,0.2678268357856767,0.2621010327940836,0.4670943359349638,0.4847622798966377
12,phonological,0.07091192776764599,0.07091192776764599,0.18360386102646345,0.18360386102646345
12,semantic (txt-txt),0.1771940652257205,0.1771940652257205,0.4458788346940999,0.4458788346940999
12,visual (img-img),0.14421744714705456,0.13346003321554054,0.39582616023270456,0.38103314063483057
12,multimodal (img-txt),0.20298199691328025,0.18464393694702622,0.40742740994795623,0.38772454417754915
12,semantic residual,0.05882718113031167,0.07404042416098368,0.2737448400791647,0.3007836585537879
12,all predictors,0.24340014715549468,0.24006206058689064,0.49012766669096747,0.4922678648528185
13,phonological,0.06337911093897991,0.06337911093897991,0.2513429442597096,0.2513429442597096
13,semantic (txt-txt),0.19778373351408327,0.19778373351408327,0.38826684604552136,0.38826684604552136
13,visual (img-img),0.18237416903112105,0.15462993172682946,0.30157147501897796,0.2875536032656761
13,multimodal (img-txt),0.2357973617559616,0.20749411895058859,0.34417937177561686,0.3329840542932085
13,semantic residual,0.06133474924577016,0.07816518861610587,0.25282541777918277,0.27663912424897247
13,all predictors,0.27722433289516474,0.2641383520982353,0.43185884661561513,0.4382490287860298
14,phonological,0.06679714463943527,0.06679714463943527,0.22658223719176604,0.22658223719176604
14,semantic (txt-txt),0.1826995652113148,0.1826995652113148,0.41787738177179984,0.41787738177179984
14,visual (img-img),0.14508874688979553,0.15184138724759863,0.3330218424984059,0.3024733802520704
14,multimodal (img-txt),0.19891516094065692,0.1807187640965815,0.39981094626478275,0.39480796511623867
14,semantic residual,0.05943367330437214,0.07402919651504929,0.26717885958939636,0.2984716179502518
14,all predictors,0.24357783428146093,0.24511418167386886,0.46663549580638747,0.4641865479959073
15,phonological,0.06684727272347053,0.06684727272347053,0.22462261969650563,0.22462261969650563
15,semantic (txt-txt),0.18544601497969598,0.18544601497969598,0.4491266574779433,0.4491266574779433
15,visual (img-img),0.16273588121112068,0.15303474563485003,0.37067774539656456,0.35119311717078666
15,multimodal (img-txt),0.2096304973640439,0.18767234555770554,0.43965241126827453,0.425454703237991
15,semantic residual,0.05582121930520028,0.07139531031417673,0.30043403039255967,0.3206746193133507
15,all predictors,0.2591934527838945,0.25359009903185564,0.48701139719804254,0.49010768844983643
16,phonological,0.06346973579475604,0.06346973579475604,0.25601183590304305,0.25601183590304305
16,semantic (txt-txt),0.1958840938783749,0.1958840938783749,0.39055297703628233,0.39055297703628233
16,visual (img-img),0.17140933382176246,0.15456685689137245,0.3581748336158412,0.33526825224206486
16,multimodal (img-txt),0.22521617012586304,0.20317259792696857,0.39805796466782273,0.3699448290335387
16,semantic residual,0.06519566373030379,0.07948331991370407,0.22418309948606782,0.2610574461367751
16,all predictors,0.2631766112979457,0.25863200182551743,0.4635967724449117,0.45622757693729804
17,phonological,0.06655706339876401,0.06655706339876401,0.2292551706827769,0.2292551706827769
17,semantic (txt-txt),0.18958442405057538,0.18958442405057538,0.422924060832848,0.422924060832848
17,visual (img-img),0.16841866114101137,0.1479858584340536,0.31968162541504785,0.3140818316426416
17,multimodal (img-txt),0.2221811794344039,0.19314784823826905,0.3723724916080028,0.35646816275150867
17,semantic residual,0.0581558455515779,0.07457925059076402,0.28094844956238985,0.2982343279271565
17,all predictors,0.2607785392414486,0.2512088262527632,0.4540240637597813,0.4590660665648287
18,phonological,0.06570797980795227,0.06570797980795227,0.23621990484769384,0.23621990484769384
18,semantic (txt-txt),0.21449307674318757,0.21449307674318757,0.3708118456786736,0.3708118456786736
18,visual (img-img),0.1845522426030852,0.14997955803242383,0.3291907478657635,0.3119849292090273
18,multimodal (img-txt),0.24731816002968826,0.22296036460485716,0.33751728498716427,0.29179360640764196
18,semantic residual,0.06618104801349119,0.09645348103210291,0.21663921022742658,0.24953927969160955
18,all predictors,0.2845958524134954,0.2751968704925108,0.4273351589071787,0.420632656995377
19,phonological,0.06693286262641361,0.06693286262641361,0.2284702597909645,0.2284702597909645
19,semantic (txt-txt),0.1860641083998151,0.1860641083998151,0.39177846784786535,0.39177846784786535
19,visual (img-img),0.1489469521752155,0.1414256067953035,0.3781037205437243,0.36866031574561864
19,multimodal (img-txt),0.21003465840756225,0.1886815516227444,0.3902686192312451,0.36198889082667446
19,semantic residual,0.06619216884867947,0.08435615083146505,0.21549416564622687,0.22744888626949097
19,all predictors,0.24809060655433107,0.2454476868207428,0.4609333464721358,0.4638791028572349
20,phonological,0.06924292153708138,0.06924292153708138,0.20467139776026058,0.20467139776026058
20,semantic (txt-txt),0.1870389415116285,0.1870389415116285,0.429622349773418,0.429622349773418
20,visual (img-img),0.16216446305191834,0.1465458610720871,0.33607338344415955,0.32113215715838367
20,multimodal (img-txt),0.21005237489598713,0.1948876727721729,0.3884684090496632,0.3701077937650031
20,semantic residual,0.05730238795196321,0.07253770577228806,0.28816019381132446,0.31178968285618874
20,all predictors,0.25746258455589,0.25270972238478967,0.4627754037711885,0.4674246296333235
21,phonological,0.05983803258735603,0.05983803258735603,0.2814747027963173,0.2814747027963173
21,semantic (txt-txt),0.19834161339414916,0.19834161339414916,0.3880988168762158,0.3880988168762158
21,visual (img-img),0.16901825263059622,0.1559844169276302,0.35201177553105306,0.3295886510075511
21,multimodal (img-txt),0.2240150660760763,0.20989127035259159,0.35767640147982444,0.31780735233006374
21,semantic residual,0.06484885477877356,0.080151715582965,0.22502441296273917,0.2554606181172718
21,all predictors,0.2667645669742402,0.26345720741516854,0.45310550352341056,0.4408862417103643
22,phonological,0.06954575045862141,0.06954575045862141,0.20755268779541955,0.20755268779541955
22,semantic (txt-txt),0.19245830250575705,0.19245830250575705,0.4250456141252745,0.4250456141252745
22,visual (img-img),0.17724668118472012,0.15928390458351196,0.3794413092365565,0.3747860754045569
22,multimodal (img-txt),0.2282600539923079,0.19473509707627878,0.3995939438323936,0.40490874629904405
22,semantic residual,0.0623739051274544,0.07829839400768637,0.24479536417176473,0.26816720315210546
22,all predictors,0.27413340483021664,0.26255156483717695,0.46899505642517353,0.4803200007265268
23,phonological,0.06502471728037502,0.06502471728037502,0.2408711831562311,0.2408711831562311
23,semantic (txt-txt),0.1813018042210149,0.1813018042210149,0.4317833124487466,0.4317833124487466
23,visual (img-img),0.16681335835928135,0.14314221220340115,0.3311424974354427,0.3222651820992099
23,multimodal (img-txt),0.21638301254452175,0.1879701366987186,0.40714029506575233,0.38322425393402304
23,semantic residual,0.05750255364131359,0.07286454972199659,0.2842959678819252,0.307960520916615
23,all predictors,0.2595459629164666,0.2527172905087718,0.4737070557872444,0.4799918603234504
24,phonological,0.06642998571765121,0.06642998571765121,0.23262846138708956,0.23262846138708956
24,semantic (txt-txt),0.19154775495225462,0.19154775495225462,0.41009055492824514,0.41009055492824514
24,visual (img-img),0.15991919131660787,0.15618899970759575,0.3612674453555524,0.3210083830582959
24,multimodal (img-txt),0.21213692529303638,0.19245590483373184,0.4010756897359517,0.3754220276970518
24,semantic residual,0.06297278327934883,0.07637348530336503,0.23741620675134695,0.28193783119703364
24,all predictors,0.2609071202779576,0.25939011386539196,0.47072542086385183,0.4607591596144577
25,phonological,0.06032007109136116,0.06032007109136116,0.273901469077787,0.273901469077787
25,semantic (txt-txt),0.18626052662736875,0.18626052662736875,0.3936613362422139,0.3936613362422139
25,visual (img-img),0.15801886816736307,0.13722276032864464,0.35627632809995186,0.2917551555444883
25,multimodal (img-txt),0.21815567408680464,0.19058410377038867,0.4127924360856625,0.42664490190182586
25,semantic residual,0.06634080776428086,0.07718676880089272,0.20979182180359948,0.27265671770876465
25,all predictors,0.25601302026895634,0.2467607270437041,0.4814243918002005,0.47215148604622
26,phonological,0.06052659476874797,0.06052659476874797,0.27736463204764666,0.27736463204764666
26,semantic (txt-txt),0.18799350459934722,0.18799350459934722,0.4395782257294018,0.4395782257294018
26,visual (img-img),0.15631455558624727,0.14984823780472536,0.3898579463615456,0.33294501611493027
26,multimodal (img-txt),0.20834366880394078,0.18368187819993215,0.4182862727263844,0.3801180629356508
26,semantic residual,0.059491426427125155,0.07104910727417826,0.2690963142540619,0.3217610893929318
26,all predictors,0.25528440222535126,0.2514470770172424,0.5052631976553147,0.4905420657321407
27,phonological,0.06487258081886917,0.06487258081886917,0.2454814081139625,0.2454814081139625
27,semantic (txt-txt),0.1863541059301505,0.1863541059301505,0.4151971031686894,0.4151971031686894
27,visual (img-img),0.16058552411060859,0.15419464767243923,0.394397509386985,0.32346917661351215
27,multimodal (img-txt),0.2068929757146129,0.19248374136303378,0.42878029430101755,0.4001856704561199
27,semantic residual,0.06532643703064318,0.07721316383333036,0.22384884115474665,0.2784442115995168
27,all predictors,0.25879123308304863,0.2586379855540638,0.48359169574539185,0.4659885034035729
28,phonological,0.06942658498536558,0.06942658498536558,0.20599769106601318,0.20599769106601318
28,semantic (txt-txt),0.19725092195372507,0.19725092195372507,0.38327522297424327,0.38327522297424327
28,visual (img-img),0.15915193975381706,0.1390696818862432,0.36383280642565546,0.3493970639145696
28,multimodal (img-txt),0.21722985503878522,0.19125711600145823,0.39498385824638793,0.3749006742277899
28,semantic residual,0.06619170230612771,0.08267326636889721,0.21669984983510815,0.2396339384531317
28,all predictors,0.26069330856931644,0.25359625613205283,0.45316894704959976,0.4541344587852505
29,phonological,0.06808290188177256,0.06808290188177256,0.21906684753205322,0.21906684753205322
29,semantic (txt-txt),0.20649154053835192,0.20649154053835192,0.3631649510523462,0.3631649510523462
29,visual (img-img),0.18403604216115005,0.1588913251205433,0.28258178312326315,0.2552432534815356
29,multimodal (img-txt),0.24218708772352668,0.21182450463506858,0.3476615033442533,0.36056746825275326
29,semantic residual,0.06282069587723287,0.08812870732211307,0.24135367464213195,0.2733428176460551
29,all predictors,0.276385022677258,0.2659194632346651,0.4101493524352596,0.4126689774517529
30,phonological,0.06521046579401059,0.06521046579401059,0.23935635397531205,0.23935635397531205
30,semantic (txt-txt),0.19154434253355648,0.19154434253355648,0.4024257276374651,0.4024257276374651
30,visual (img-img),0.1496982968661666,0.13220592819003785,0.3748287501094229,0.33633677970627873
30,multimodal (img-txt),0.21088407496188616,0.18615957337315808,0.41059157924182094,0.39339346855179874
30,semantic residual,0.06356054198313134,0.07998320172290577,0.23577621470693025,0.27685454260339143
30,all predictors,0.25006611461845385,0.24494571741180995,0.47889253078132854,0.47290421253108966
31,phonological,0.06627482258700636,0.06627482258700636,0.23138346510738342,0.23138346510738342
31,semantic (txt-txt),0.19399815726897623,0.19399815726897623,0.3938550203543496,0.3938550203543496
31,visual (img-img),0.17281485978595004,0.16640468059545144,0.32200730355745283,0.3050770172861265
31,multimodal (img-txt),0.23179914079155406,0.20689237242578917,0.35374212317912995,0.3305467232013654
31,semantic residual,0.06188572959979645,0.07756563753149688,0.24630126876430763,0.2712365718949278
31,all predictors,0.264170945664157,0.2614009966419533,0.43877104717639215,0.43580457644965714
32,phonological,0.06673028186819897,0.06673028186819897,0.22926313720699845,0.22926313720699845
32,semantic (txt-txt),0.1809844444819327,0.1809844444819327,0.4445171562259988,0.4445171562259988
32,visual (img-img),0.16497939217115287,0.14742788698855055,0.3460798379094474,0.35150570202759734
32,multimodal (img-txt),0.19767965839409826,0.17773530681221447,0.4227491425490736,0.4154133476444435
32,semantic residual,0.05707587204662095,0.07391944724532462,0.2906291808366264,0.3024203331575291
32,all predictors,0.25489621379535704,0.24873405248679228,0.4798195896784836,0.4958491234940064
33,phonological,0.06329939444499541,0.06329939444499541,0.25624377131492926,0.25624377131492926
33,semantic (txt-txt),0.19109203414094145,0.19109203414094145,0.3746424206999782,0.3746424206999782
33,visual (img-img),0.17590634481059592,0.15230271907918047,0.2709319453210375,0.2732371677036453
33,multimodal (img-txt),0.2155188827365211,0.19107101213673167,0.3607207195411036,0.3636629890526408
33,semantic residual,0.05955116173189921,0.07725359482592266,0.26836067335505004,0.2769369621793073
33,all predictors,0.2584152900626197,0.24999097973700724,0.424728657382566,0.4396389015942016
34,phonological,0.060749323908227904,0.060749323908227904,0.2768909295152786,0.2768909295152786
34,semantic (txt-txt),0.1828435764746904,0.1828435764746904,0.4222224897376502,0.4222224897376502
34,visual (img-img),0.16362217871790924,0.15658359530913846,0.3418297189190295,0.3496792312188977
34,multimodal (img-txt),0.20834402232211677,0.19429034806125947,0.41212959651528447,0.3824277395029143
34,semantic residual,0.058794677881744306,0.07713238378380112,0.2758654860096065,0.27864495507051745
34,all predictors,0.2571107476806221,0.25618754604944544,0.47379361096541284,0.4792730795880515
35,phonological,0.06499086358437928,0.06499086358437928,0.2422194395094319,0.2422194395094319
35,semantic (txt-txt),0.19949906573981152,0.19949906573981152,0.36948026230566744,0.36948026230566744
35,visual (img-img),0.1837704636886302,0.1597189179928108,0.2778372748059334,0.24677311233710916
35,multimodal (img-txt),0.22197215702518006,0.1991876599673268,0.3617906209714388,0.3565827375158526
35,semantic residual,0.06282273177299229,0.08015854596149347,0.24355986408954491,0.27258939305220686
35,all predictors,0.2720696951555744,0.2601652315373207,0.418739672001046,0.41811777716351184
36,phonological,0.06853265853331413,0.06853265853331413,0.20992884655970478,0.20992884655970478
36,semantic (txt-txt),0.20660479575887108,0.20660479575887108,0.3702692429259228,0.3702692429259228
36,visual (img-img),0.16725722757420894,0.15561848317173818,0.34485325749186574,0.32662503029423623
36,multimodal (img-txt),0.22079459685415562,0.19980865015226892,0.38189707995599753,0.3725355556086263
36,semantic residual,0.0654662545558993,0.09145326587304935,0.21714315275518423,0.23531038729130496
36,all predictors,0.264421604920279,0.26126075645957275,0.4389858687927132,0.4422017210576969
37,phonological,0.07079499775977484,0.07079499775977484,0.22986965287054778,0.22986965287054778
37,semantic (txt-txt),0.20814497035614632,0.20814497035614632,0.3514626941243877,0.3514626941243877
37,visual (img-img),0.16042250607404102,0.14384339019162246,0.29322104082799094,0.26326938064886785
37,multimodal (img-txt),0.22852681296805827,0.20954744657952792,0.3511942547458591,0.3348184477282404
37,semantic residual,0.06466231958050855,0.10001450618842281,0.22533464116665153,0.24270111981259837
37,all predictors,0.27203534476810465,0.26632842526674877,0.4132406557297906,0.40998488092927315
38,phonological,0.06605863586968963,0.06605863586968963,0.23195772161420644,0.23195772161420644
38,semantic (txt-txt),0.18298752667695073,0.18298752667695073,0.39669902419571257,0.39669902419571257
38,visual (img-img),0.14676370025968113,0.12007425915209351,0.3501838732192755,0.30074408355424653
38,multimodal (img-txt),0.2064520694612978,0.1869305300978677,0.37767242381410265,0.3450897200990257
38,semantic residual,0.06316028867567713,0.07776687042009457,0.23704348397963432,0.2722593394055205
38,all predictors,0.254974063796115,0.2484728607486477,0.4564983967808528,0.4465639938713569
39,phonological,0.06396257286334966,0.06396257286334966,0.25168953271234257,0.25168953271234257
39,semantic (txt-txt),0.18656188072594435,0.18656188072594435,0.40777090664944704,0.40777090664944704
39,visual (img-img),0.15845936699476312,0.1492055126305972,0.3280286743956006,0.316288271261449
39,multimodal (img-txt),0.2047590381045882,0.18505247227274868,0.3546576164266985,0.3424111097759477
39,semantic residual,0.060012013948555654,0.07703827885963446,0.26437778459579164,0.27886729308500857
39,all predictors,0.2545962407105816,0.2526151061233343,0.4595884814590694,0.46367494303071105
40,phonological,0.06651586936506818,0.06651586936506818,0.2256218219806865,0.2256218219806865
40,semantic (txt-txt),0.1927170680604675,0.1927170680604675,0.4030093650383522,0.4030093650383522
40,visual (img-img),0.15235355824196242,0.12431570690368259,0.3568559723122707,0.3840045880045085
40,multimodal (img-txt),0.2012270907694941,0.17909765578882336,0.4156674642653569,0.3978191475499187
40,semantic residual,0.06272271620215422,0.08050673468769927,0.23839744960820833,0.24609918073564657
40,all predictors,0.25928376316857066,0.2504211657449396,0.46346130488262155,0.4735029610555994
41,phonological,0.06676091544178647,0.06676091544178647,0.22828816226083534,0.22828816226083534
41,semantic (txt-txt),0.19604494091900415,0.19604494091900415,0.39517444202482227,0.39517444202482227
41,visual (img-img),0.16087863870570668,0.1415727856783902,0.3146009755064916,0.3220127440225879
41,multimodal (img-txt),0.22826215971480557,0.201008930756191,0.3695556822091245,0.355685845080913
41,semantic residual,0.060717404849236295,0.07794418832482447,0.254986150824424,0.2681592399705305
41,all predictors,0.2684754431133172,0.2602727936620797,0.4386904259445962,0.44630479811465396
42,phonological,0.057399576893276,0.057399576893276,0.30476599964623263,0.30476599964623263
42,semantic (txt-txt),0.17706738521429013,0.17706738521429013,0.3924976172483802,0.3924976172483802
42,visual (img-img),0.15345013672763658,0.12484722061226598,0.3517607528612234,0.3196528183184549
42,multimodal (img-txt),0.20400282634716094,0.17641415810035538,0.4182458826487183,0.4041281439847957
42,semantic residual,0.06446709123495603,0.07922492985169194,0.2280913936558665,0.26214567824775586
42,all predictors,0.24756941593152518,0.23838969277285893,0.4799216750238197,0.47925188644856487
43,phonological,0.06868058759568278,0.06868058759568278,0.21373254355084906,0.21373254355084906
43,semantic (txt-txt),0.18449547617895046,0.18449547617895046,0.4182364442673643,0.4182364442673643
43,visual (img-img),0.1657013674978729,0.14473468197278902,0.3770561132029483,0.33271338733366285
43,multimodal (img-txt),0.20467956450235453,0.18620243305364317,0.4060809756554201,0.35951815116157565
43,semantic residual,0.061695933118006294,0.0755629029765162,0.25184845977657183,0.28971911472109163
43,all predictors,0.2555391716053033,0.2505635636614078,0.47239256147876046,0.46244224324132877
44,phonological,0.06726610797244321,0.06726610797244321,0.22136429110919373,0.22136429110919373
44,semantic (txt-txt),0.19911324935374541,0.19911324935374541,0.3707322870094125,0.3707322870094125
44,visual (img-img),0.17428201920401884,0.15522628807014607,0.320790336908361,0.27731960759086793
44,multimodal (img-txt),0.2200176065411181,0.2049026640284372,0.3565001124259762,0.3295537282333177
44,semantic residual,0.06413230210071533,0.07866427813770922,0.22712339288074718,0.26414916571137154
44,all predictors,0.2622028578698367,0.2561248280139641,0.43057017189274527,0.4245795159521408
45,phonological,0.06713388829130665,0.06713388829130665,0.22206633616174393,0.22206633616174393
45,semantic (txt-txt),0.17164908902907564,0.17164908902907564,0.42264645685599217,0.42264645685599217
45,visual (img-img),0.15045693675992858,0.14191873424050971,0.39084033620101205,0.3587886597969696
45,multimodal (img-txt),0.20230725544509687,0.18040260238061648,0.4546836326058737,0.4617277382272564
45,semantic residual,0.06230278699947487,0.0768897096874932,0.24504976178126966,0.2786824131015107
45,all predictors,0.24693043574082163,0.24174914168613762,0.4987399305747318,0.49749598241401344
46,phonological,0.06018433562568271,0.06018433562568271,0.27485233488742616,0.27485233488742616
46,semantic (txt-txt),0.19149608424390666,0.19149608424390666,0.4200881411462651,0.4200881411462651
46,visual (img-img),0.1688604051075601,0.14141482408584233,0.327498234289125,0.3008806961309245
46,multimodal (img-txt),0.21449165289832842,0.19553357441688407,0.3956552936259133,0.3754554660554045
46,semantic residual,0.058649974176929055,0.07430083513542146,0.2737122396524695,0.31513903187079667
46,all predictors,0.2620128322845904,0.2532235021202758,0.47326845520523514,0.47206248120182237
47,phonological,0.06375152508372368,0.06375152508372368,0.2516815605952292,0.2516815605952292
47,semantic (txt-txt),0.19715094163907856,0.19715094163907856,0.40736261617517766,0.40736261617517766
47,visual (img-img),0.16241455686936737,0.16314845905816527,0.3857074017090828,0.35248612528563467
47,multimodal (img-txt),0.21304861411559375,0.19826515280891233,0.40521251406373776,0.388488273607483
47,semantic residual,0.06553693961928612,0.08018042835279285,0.2219274877953156,0.25821897513631586
47,all predictors,0.2626730739478796,0.2626491981629481,0.4749759661942158,0.46920766055650104
48,phonological,0.06960859840501042,0.06960859840501042,0.20637779520376706,0.20637779520376706
48,semantic (txt-txt),0.18736421465583203,0.18736421465583203,0.41962147238374614,0.41962147238374614
48,visual (img-img),0.1576019358354128,0.14720833643200285,0.3976079335675684,0.37963183140297446
48,multimodal (img-txt),0.2113409222457824,0.1827409768321236,0.3889652118712545,0.3781692116949282
48,semantic residual,0.06468983183631656,0.07965943931107261,0.22568327536888555,0.25839402782133436
48,all predictors,0.2598155908519536,0.2530680650341655,0.4614204900061272,0.46580368956904256
49,phonological,0.06228432834023267,0.06228432834023267,0.2619743379154692,0.2619743379154692
49,semantic (txt-txt),0.174978218923273,0.174978218923273,0.4080867301157715,0.4080867301157715
49,visual (img-img),0.15535385847247396,0.14328760494512569,0.38428395782922337,0.3350248105648095
49,multimodal (img-txt),0.207335103687242,0.18128403262135717,0.3953832945960763,0.38766568894351894
49,semantic residual,0.0655928172945237,0.07883588373892886,0.2162280152063847,0.2632369427024849
49,all predictors,0.24996787767419343,0.2443375769755771,0.4824110537129438,0.47887864918100836
50,phonological,0.06109000142600384,0.06109000142600384,0.27288498502891695,0.27288498502891695
50,semantic (txt-txt),0.18969072380577268,0.18969072380577268,0.40791727778085995,0.40791727778085995
50,visual (img-img),0.15698949709251772,0.14273413499718782,0.3440308401595556,0.2985533577108421
50,multimodal (img-txt),0.22066953501705552,0.2029710129439203,0.3837212524368182,0.36733297187907865
50,semantic residual,0.060931429132086386,0.07512928473664154,0.25462994412944884,0.2898466136942761
50,all predictors,0.2568223018919386,0.2538029335782584,0.4653865237396622,0.4588783052218248
